SIGN_CD,SIGN_NM,SIGN_FROM,SIGN_GB,LONGITUDE,LATITUDE
1,경포대해수욕장,국립해양조사원,both,128.931889,37.808972
2,낙산해수욕장,국립해양조사원,both,128.650556,38.1225
3,남해동부,국립해양조사원,both,128.419027,34.222472
4,대천해수욕장,국립해양조사원,both,126.457805,36.274111
5,대한해협,국립해양조사원,both,129.12125,34.919
6,상왕등도,국립해양조사원,both,126.19425,35.652472
7,생일도,국립해양조사원,both,126.960277,34.258722
8,속초해수욕장,국립해양조사원,both,128.631389,38.198611
9,송정해수욕장,국립해양조사원,both,129.219444,35.164722
10,우이도,국립해양조사원,both,125.8027778,34.54305556
11,임랑해수욕장,국립해양조사원,both,129.2925,35.3025
12,제주해협,국립해양조사원,both,126.5905,33.70011111
13,중문해수욕장,국립해양조사원,both,126.409555,33.2345
14,해운대해수욕장,국립해양조사원,both,129.170166,35.148972
15,감천항,국립해양조사원,wave,129.003083,35.052805
16,울릉도북동,국립해양조사원,wave,131.552583,33.24
17,울릉도북서,국립해양조사원,wave,130.601194,37.742722
18,제주남부,국립해양조사원,wave,126.965861,32.090416
19,가덕도등대,국립해양측위정보원,wind,128.829139,34.989556
20,감천항유도등부표(랜비),국립해양측위정보원,wind,129.022222,35.032028
21,나무섬등대,국립해양측위정보원,wind,128.9895,34.979667
22,남항동방파제등대,국립해양측위정보원,wind,129.03325,35.084833
23,남형제도등표,국립해양측위정보원,wind,128.949972,34.885111
24,부산항신항중앙C호등부표,국립해양측위정보원,wind,128.788556,35.024
25,부산항유도등부표(랜비),국립해양측위정보원,wind,129.131056,35.066417
26,송정리등표,국립해양측위정보원,wind,129.2175,35.169278
27,신항유도등부표(랜비),국립해양측위정보원,wind,128.812917,34.966583
28,오륙도등대,국립해양측위정보원,wind,129.126917,35.091306
29,고식이등표,국립해양측위정보원,wind,126.303056,37.485
30,목덕도등대,국립해양측위정보원,wind,125.786944,36.928611
31,민어탄등표,국립해양측위정보원,wind,125.925278,37.125
32,부도등대,국립해양측위정보원,wind,126.348056,37.149444
33,북장자서등표,국립해양측위정보원,wind,126.477778,37.329444
34,서포리남방등표,국립해양측위정보원,wind,126.091667,37.213611
35,선미도등대,국립해양측위정보원,wind,126.077778,37.287222
36,소야도등대,국립해양측위정보원,wind,126.193889,37.208333
37,소연평도등대,국립해양측위정보원,wind,125.717778,37.604444
38,소청도등대,국립해양측위정보원,wind,124.728611,37.760833
39,인천항석탄부두A호등대,국립해양측위정보원,wind,126.586944,37.438333
40,초치암등표,국립해양측위정보원,wind,126.222778,37.328056
41,팔미도등대,국립해양측위정보원,wind,126.501667,37.358333
42,광양항등표,국립해양측위정보원,wind,127.759833,34.882167
43,여초등표,국립해양측위정보원,wind,127.699,34.688
44,울산항동방파제서단등대,국립해양측위정보원,wind,129.399889,35.4665
45,울산항등부표,국립해양측위정보원,wind,129.436472,35.363667
46,대산항제2항로제3호등부표,국립해양측위정보원,wind,126.343333,37.041667
47,소녀암등표,국립해양측위정보원,wind,126.473167,36.32
48,신도타서등표,국립해양측위정보원,wind,126.150333,36.895
49,옹도등대,국립해양측위정보원,wind,126.0085,36.647333
50,무당서등표,국립해양측위정보원,wind,126.416389,37.156111
51,입파도등대,국립해양측위정보원,wind,126.539167,37.108056
52,(기상)가거도등대,국립해양측위정보원,wind,125.098569,34.095378
53,(기상)계마항방파제등대,국립해양측위정보원,wind,126.403056,35.39025
